filename,source,source_type,source_index,source_filename,parent_filename,parent_source_index,product_group,sampling_group,sampling_bucket,is_augmented,augmentation_transform,orientation_correction_angle_ccw,split
images/image_0001.jpeg,new_date_real,real_photo,0,KakaoTalk_260915_021729_01.jpeg,KakaoTalk_260915_021729_01.jpeg,0,new_date_pg_000,new_date_pg_000,new_real_photo,0,none,270,train
images/image_0002.jpeg,new_date_real,real_photo,1,KakaoTalk_260915_021729_11.jpeg,KakaoTalk_260915_021729_11.jpeg,1,new_date_pg_001,new_date_pg_001,new_real_photo,0,none,270,train
images/image_0003.jpeg,new_date_real,real_photo,2,KakaoTalk_260915_021729_21.jpeg,KakaoTalk_260915_021729_21.jpeg,2,new_date_pg_002,new_date_pg_002,new_real_photo,0,none,270,train
images/image_0004.jpeg,new_date_real,real_photo,3,KakaoTalk_260915_021729_31.jpeg,KakaoTalk_260915_021729_31.jpeg,3,new_date_pg_003,new_date_pg_003,new_real_photo,0,none,270,train
images/image_0005.jpeg,new_date_real,real_photo,4,KakaoTalk_260915_021729_41.jpeg,KakaoTalk_260915_021729_41.jpeg,4,new_date_pg_004,new_date_pg_004,new_real_photo,0,none,270,train
images/image_0006.jpeg,new_date_real,real_photo,5,KakaoTalk_260915_021729_51.jpeg,KakaoTalk_260915_021729_51.jpeg,5,new_date_pg_005,new_date_pg_005,new_real_photo,0,none,270,train
images/image_0007.jpeg,new_date_real,real_photo,6,KakaoTalk_260915_021730_61.jpeg,KakaoTalk_260915_021730_61.jpeg,6,new_date_pg_006,new_date_pg_006,new_real_photo,0,none,270,train
images/image_0008.jpeg,new_date_real,real_photo,7,KakaoTalk_260915_021730_71.jpeg,KakaoTalk_260915_021730_71.jpeg,7,new_date_pg_007,new_date_pg_007,new_real_photo,0,none,270,train
images/image_0009.jpeg,new_date_real,real_photo,8,KakaoTalk_260915_021730_81.jpeg,KakaoTalk_260915_021730_81.jpeg,8,new_date_pg_008,new_date_pg_008,new_real_photo,0,none,270,train
images/image_0010.jpeg,new_date_real,real_photo,9,KakaoTalk_260915_021730_91.jpeg,KakaoTalk_260915_021730_91.jpeg,9,new_date_pg_009,new_date_pg_009,new_real_photo,0,none,270,train
images/image_0011.jpeg,new_date_real,real_photo,10,KakaoTalk_260915_021731_101.jpeg,KakaoTalk_260915_021731_101.jpeg,10,new_date_pg_010,new_date_pg_010,new_real_photo,0,none,270,train
images/image_0012.jpeg,new_date_real,real_photo,11,KakaoTalk_260915_021731_111.jpeg,KakaoTalk_260915_021731_111.jpeg,11,new_date_pg_011,new_date_pg_011,new_real_photo,0,none,270,train
images/image_0013.jpeg,new_date_real,real_photo,12,KakaoTalk_260915_021731_121.jpeg,KakaoTalk_260915_021731_121.jpeg,12,new_date_pg_012,new_date_pg_012,new_real_photo,0,none,270,train
images/image_0014.jpeg,new_date_real,real_photo,13,KakaoTalk_260915_021731_131.jpeg,KakaoTalk_260915_021731_131.jpeg,13,new_date_pg_013,new_date_pg_013,new_real_photo,0,none,270,train
images/image_0015.jpeg,new_date_real,real_photo,14,KakaoTalk_260915_021731_141.jpeg,KakaoTalk_260915_021731_141.jpeg,14,new_date_pg_014,new_date_pg_014,new_real_photo,0,none,270,train
images/image_0016.jpeg,new_date_real,real_photo,15,KakaoTalk_260915_021732_151.jpeg,KakaoTalk_260915_021732_151.jpeg,15,new_date_pg_015,new_date_pg_015,new_real_photo,0,none,270,train
images/image_0017.jpeg,new_date_real,real_photo,16,KakaoTalk_260915_021732_161.jpeg,KakaoTalk_260915_021732_161.jpeg,16,new_date_pg_016,new_date_pg_016,new_real_photo,0,none,270,train
images/image_0018.jpeg,new_date_real,real_photo,17,KakaoTalk_260915_021732_171.jpeg,KakaoTalk_260915_021732_171.jpeg,17,new_date_pg_017,new_date_pg_017,new_real_photo,0,none,270,train
images/image_0019.jpeg,new_date_real,real_photo,18,KakaoTalk_260915_021732_181.jpeg,KakaoTalk_260915_021732_181.jpeg,18,new_date_pg_018,new_date_pg_018,new_real_photo,0,none,270,train
images/image_0020.jpeg,new_date_real,real_photo,19,KakaoTalk_260915_021733_191.jpeg,KakaoTalk_260915_021733_191.jpeg,19,new_date_pg_019,new_date_pg_019,new_real_photo,0,none,270,train
images/image_0021.jpeg,new_date_real,real_photo,20,KakaoTalk_260915_021733_201.jpeg,KakaoTalk_260915_021733_201.jpeg,20,new_date_pg_020,new_date_pg_020,new_real_photo,0,none,270,train
images/image_0022.jpeg,new_date_real,real_photo,21,KakaoTalk_260915_021733_211.jpeg,KakaoTalk_260915_021733_211.jpeg,21,new_date_pg_021,new_date_pg_021,new_real_photo,0,none,270,train
images/image_0023.jpeg,new_date_real,real_photo,22,KakaoTalk_260915_021733_221.jpeg,KakaoTalk_260915_021733_221.jpeg,22,new_date_pg_022,new_date_pg_022,new_real_photo,0,none,270,train
images/image_0024.jpeg,new_date_real,real_photo,23,KakaoTalk_260915_021733_231.jpeg,KakaoTalk_260915_021733_231.jpeg,23,new_date_pg_023,new_date_pg_023,new_real_photo,0,none,270,train
images/image_0025.jpeg,new_date_real,real_photo,24,KakaoTalk_260915_021734_241.jpeg,KakaoTalk_260915_021734_241.jpeg,24,new_date_pg_024,new_date_pg_024,new_real_photo,0,none,270,train
images/image_0026.jpeg,new_date_real,real_photo,25,KakaoTalk_260915_021734_251.jpeg,KakaoTalk_260915_021734_251.jpeg,25,new_date_pg_025,new_date_pg_025,new_real_photo,0,none,270,train
